FILE,WEEK,TYPE,COUNT
FY16-17,July 1-5,Individual,47
FY16-17,July 1-5,Declined,21
FY16-17,July 6-9,Individual,37
FY16-17,July 6-9,Declined,38
FY16-17,July 11-16,Individual,77
FY16-17,July 11-16,Declined,47
FY16-17,July 18-23,Individual,54
FY16-17,July 18-23,Declined,33
FY16-17,July 25-30,Individual,81
FY16-17,July 25-30,Declined,41
FY16-17,July 25-30,Individual,81
FY16-17,Aug 1-6,Individual,85
FY16-17,Aug 1-6,Declined,77
FY16-17,Aug 8-13,Individual,73
FY16-17,Aug 8-13,Declined,71
FY16-17,Aug 15-20,Individual,86
FY16-17,Aug 15-20,Declined,64
FY16-17,Aug 22-27,Individual,60
FY16-17,Aug 22-27,Declined,66
FY16-17,Aug 29-31,Individual,14
FY16-17,Aug 29-31,Declined,3
FY16-17,Aug 29-31,Individual,14
FY16-17,Sep 1-10,Individual,117
FY16-17,Sep 1-10,Declined,133
FY16-17,Sept 12-17,Individual,75
FY16-17,Sept 12-17,Declined,78
FY16-17,Sept19-24,Individual,73
FY16-17,Sept19-24,Declined,101
FY16-17,Sept 26-30,Individual,64
FY16-17,Sept 26-30,Declined,90
FY16-17,Sept 26-30,Individual,64
FY16-17,Oct 1-8,Individual,81
FY16-17,Oct 1-8,Declined,86
FY16-17,Oct 10-15,Individual,87
FY16-17,Oct 10-15,Declined,91
FY16-17,Oct 17-22,Individual,61
FY16-17,Oct 17-22,Declined,70
FY16-17,Oct 24-31,Individual,65
FY16-17,Oct 24-31,Declined,67
FY16-17,Oct 24-31,Individual,65
FY16-17,Nov 1-5,Individual,50
FY16-17,Nov 1-5,Declined,62
FY16-17,Nov7-12,Individual,62
FY16-17,Nov7-12,Declined,64
FY16-17,Nov 14-19,Individual,53
FY16-17,Nov 14-19,Declined,33
FY16-17,Nov 21-30,Individual,43
FY16-17,Nov 21-30,Declined,60
FY16-17,Nov 21-30,Individual,43
FY16-17,Dec 1-3,Individual,41
FY16-17,Dec 1-3,Declined,50
FY16-17,Dec 5-10,Individual,68
FY16-17,Dec 5-10,Declined,92
FY16-17,Dec 12-17,Individual,45
FY16-17,Dec 12-17,Declined,49
FY16-17,Dec 19-24,Individual,43
FY16-17,Dec 19-24,Declined,52
FY16-17,Dec 26-31,Individual,56
FY16-17,Dec 26-31,Declined,50
FY16-17,Dec 26-31,Individual,56
FY16-17,Jan 2-7,Individual,55
FY16-17,Jan 2-7,Declined,61
FY16-17,Jan 9-14,Individual,41
FY16-17,Jan 9-14,Declined,49
FY16-17,Jan 16-21,Individual,42
FY16-17,Jan 16-21,Declined,61
FY16-17,Jan 23-28,Individual,56
FY16-17,Jan 23-28,Declined,62
FY16-17,"Jan 30,31",Individual,14
FY16-17,"Jan 30,31",Declined,16
FY16-17,"Jan 30,31",Individual,14
FY16-17,February 1-4,Individual,47
FY16-17,February 1-4,Declined,31
FY16-17,February 6-11,Individual,49
FY16-17,February 6-11,Declined,68
FY16-17,February 13-18,Individual,62
FY16-17,February 13-18,Declined,71
FY16-17,February 20-25,Individual,53
FY16-17,February 20-25,Declined,66
FY16-17,February 27-28,Individual,48
FY16-17,February 27-28,Declined,17
FY16-17,February 27-28,Individual,48
FY16-17,March 1-4,Individual,39
FY16-17,March 1-4,Declined,23
FY16-17,March 6-11,Individual,46
FY16-17,March 6-11,Declined,53
FY16-17,March 13-18,Individual,58
FY16-17,March 13-18,Declined,60
FY16-17,March 20-25,Individual,79
FY16-17,March 20-25,Declined,92
FY16-17,March 27-31,Individual,47
FY16-17,March 27-31,Declined,63
FY16-17,March 27-31,Individual,47
FY16-17,1-Apr,Individual,18
FY16-17,4/1/2017,Declined,19
FY16-17,April 3-8,Individual,67
FY16-17,April 3-8,Declined,64
FY16-17,April 10-15,Individual,66
